"time" "name" "value" "sigma" "condition" "experiment" "epo_level" "ActD" "CISoe" "SOCS3oe" "SHP1oe"
5 "pEpoR_au" 0.864150943396226 NA "actd_0" "actd" 1.25e-07 0 0 0 0
10 "pEpoR_au" 0.841509433962265 NA "actd_0" "actd" 1.25e-07 0 0 0 0
30 "pEpoR_au" 0.126962264150943 NA "actd_0" "actd" 1.25e-07 0 0 0 0
60 "pEpoR_au" 0.12548679245283 NA "actd_0" "actd" 1.25e-07 0 0 0 0
90 "pEpoR_au" 0.0530000000000001 NA "actd_0" "actd" 1.25e-07 0 0 0 0
120 "pEpoR_au" 0.158660377358491 NA "actd_0" "actd" 1.25e-07 0 0 0 0
150 "pEpoR_au" 0.0999056603773574 NA "actd_0" "actd" 1.25e-07 0 0 0 0
180 "pEpoR_au" 0.0791283018867924 NA "actd_0" "actd" 1.25e-07 0 0 0 0
0 "pJAK2_au" 0.0185831932048462 NA "actd_0" "actd" 1.25e-07 0 0 0 0
5 "pJAK2_au" 1 NA "actd_0" "actd" 1.25e-07 0 0 0 0
10 "pJAK2_au" 0.749593986691386 NA "actd_0" "actd" 1.25e-07 0 0 0 0
30 "pJAK2_au" 0.234697250607223 NA "actd_0" "actd" 1.25e-07 0 0 0 0
60 "pJAK2_au" 0.0813894997053714 NA "actd_0" "actd" 1.25e-07 0 0 0 0
90 "pJAK2_au" 0.0454591184121645 NA "actd_0" "actd" 1.25e-07 0 0 0 0
120 "pJAK2_au" 0.036174707886 NA "actd_0" "actd" 1.25e-07 0 0 0 0
150 "pJAK2_au" 0.0685407953549195 NA "actd_0" "actd" 1.25e-07 0 0 0 0
180 "pJAK2_au" 0.074648960174765 NA "actd_0" "actd" 1.25e-07 0 0 0 0
0 "pSTAT5_au" 0.00191317829457367 NA "actd_0" "actd" 1.25e-07 0 0 0 0
5 "pSTAT5_au" 0.860465116279069 NA "actd_0" "actd" 1.25e-07 0 0 0 0
10 "pSTAT5_au" 0.944186046511627 NA "actd_0" "actd" 1.25e-07 0 0 0 0
30 "pSTAT5_au" 0.479069767441861 NA "actd_0" "actd" 1.25e-07 0 0 0 0
60 "pSTAT5_au" 0.170542635658915 NA "actd_0" "actd" 1.25e-07 0 0 0 0
90 "pSTAT5_au" 0.081384496124031 NA "actd_0" "actd" 1.25e-07 0 0 0 0
120 "pSTAT5_au" 0.184496124031008 NA "actd_0" "actd" 1.25e-07 0 0 0 0
150 "pSTAT5_au" 0.131004651162791 NA "actd_0" "actd" 1.25e-07 0 0 0 0
180 "pSTAT5_au" 0.115660465116279 NA "actd_0" "actd" 1.25e-07 0 0 0 0
0 "tSTAT5_au" 0.832432432432432 NA "actd_0" "actd" 1.25e-07 0 0 0 0
5 "tSTAT5_au" 0.897297297297297 NA "actd_0" "actd" 1.25e-07 0 0 0 0
10 "tSTAT5_au" 0.85945945945946 NA "actd_0" "actd" 1.25e-07 0 0 0 0
30 "tSTAT5_au" 0.67027027027027 NA "actd_0" "actd" 1.25e-07 0 0 0 0
60 "tSTAT5_au" 0.735135135135136 NA "actd_0" "actd" 1.25e-07 0 0 0 0
90 "tSTAT5_au" 0.583783783783784 NA "actd_0" "actd" 1.25e-07 0 0 0 0
120 "tSTAT5_au" 0.886486486486486 NA "actd_0" "actd" 1.25e-07 0 0 0 0
150 "tSTAT5_au" 0.681081081081081 NA "actd_0" "actd" 1.25e-07 0 0 0 0
180 "tSTAT5_au" 0.471351351351351 NA "actd_0" "actd" 1.25e-07 0 0 0 0
0 "CIS_au" 0.0139487666034154 NA "actd_1" "actd" 1.25e-07 1 0 0 0
5 "CIS_au" 0.00795066413662242 NA "actd_1" "actd" 1.25e-07 1 0 0 0
10 "CIS_au" 0.0100455407969639 NA "actd_1" "actd" 1.25e-07 1 0 0 0
30 "CIS_au" 0.0202163187855785 NA "actd_1" "actd" 1.25e-07 1 0 0 0
60 "CIS_au" 0.0060398481973435 NA "actd_1" "actd" 1.25e-07 1 0 0 0
90 "CIS_au" 0.00754459203036054 NA "actd_1" "actd" 1.25e-07 1 0 0 0
120 "CIS_au" 0.00416318785578752 NA "actd_1" "actd" 1.25e-07 1 0 0 0
150 "CIS_au" 0.0125787476280834 NA "actd_1" "actd" 1.25e-07 1 0 0 0
180 "CIS_au" 0.00796394686907014 NA "actd_1" "actd" 1.25e-07 1 0 0 0
0 "pEpoR_au" 0.0112981132075473 NA "actd_1" "actd" 1.25e-07 1 0 0 0
5 "pEpoR_au" 1 NA "actd_1" "actd" 1.25e-07 1 0 0 0
10 "pEpoR_au" 0.788679245283019 NA "actd_1" "actd" 1.25e-07 1 0 0 0
30 "pEpoR_au" 0.32831320754717 NA "actd_1" "actd" 1.25e-07 1 0 0 0
60 "pEpoR_au" 0.123554716981132 NA "actd_1" "actd" 1.25e-07 1 0 0 0
90 "pEpoR_au" 0.177252830188679 NA "actd_1" "actd" 1.25e-07 1 0 0 0
120 "pEpoR_au" 0.192845283018868 NA "actd_1" "actd" 1.25e-07 1 0 0 0
150 "pEpoR_au" 0.170830188679245 NA "actd_1" "actd" 1.25e-07 1 0 0 0
180 "pEpoR_au" 0.135833962264151 NA "actd_1" "actd" 1.25e-07 1 0 0 0
0 "pJAK2_au" 0.0222480920967532 NA "actd_1" "actd" 1.25e-07 1 0 0 0
5 "pJAK2_au" 0.594489716724873 NA "actd_1" "actd" 1.25e-07 1 0 0 0
10 "pJAK2_au" 0.888414607855818 NA "actd_1" "actd" 1.25e-07 1 0 0 0
30 "pJAK2_au" 0.212549763578091 NA "actd_1" "actd" 1.25e-07 1 0 0 0
60 "pJAK2_au" 0.124319119274494 NA "actd_1" "actd" 1.25e-07 1 0 0 0
90 "pJAK2_au" 0.175584587303641 NA "actd_1" "actd" 1.25e-07 1 0 0 0
120 "pJAK2_au" 0.098707943488697 NA "actd_1" "actd" 1.25e-07 1 0 0 0
150 "pJAK2_au" 0.1637419336294 NA "actd_1" "actd" 1.25e-07 1 0 0 0
180 "pJAK2_au" 0.141824401040544 NA "actd_1" "actd" 1.25e-07 1 0 0 0
0 "pSTAT5_au" 0.0018217054263566 NA "actd_1" "actd" 1.25e-07 1 0 0 0
5 "pSTAT5_au" 0.95968992248062 NA "actd_1" "actd" 1.25e-07 1 0 0 0
10 "pSTAT5_au" 1 NA "actd_1" "actd" 1.25e-07 1 0 0 0
30 "pSTAT5_au" 0.438759689922481 NA "actd_1" "actd" 1.25e-07 1 0 0 0
60 "pSTAT5_au" 0.322480620155039 NA "actd_1" "actd" 1.25e-07 1 0 0 0
90 "pSTAT5_au" 0.331782945736434 NA "actd_1" "actd" 1.25e-07 1 0 0 0
120 "pSTAT5_au" 0.421705426356589 NA "actd_1" "actd" 1.25e-07 1 0 0 0
150 "pSTAT5_au" 0.46201550387597 NA "actd_1" "actd" 1.25e-07 1 0 0 0
180 "pSTAT5_au" 0.336434108527132 NA "actd_1" "actd" 1.25e-07 1 0 0 0
0 "tSTAT5_au" 0.902702702702702 NA "actd_1" "actd" 1.25e-07 1 0 0 0
5 "tSTAT5_au" 1 NA "actd_1" "actd" 1.25e-07 1 0 0 0
10 "tSTAT5_au" 0.924324324324324 NA "actd_1" "actd" 1.25e-07 1 0 0 0
30 "tSTAT5_au" 0.583783783783784 NA "actd_1" "actd" 1.25e-07 1 0 0 0
60 "tSTAT5_au" 0.794594594594594 NA "actd_1" "actd" 1.25e-07 1 0 0 0
90 "tSTAT5_au" 0.772972972972973 NA "actd_1" "actd" 1.25e-07 1 0 0 0
120 "tSTAT5_au" 0.756756756756756 NA "actd_1" "actd" 1.25e-07 1 0 0 0
150 "tSTAT5_au" 0.745945945945946 NA "actd_1" "actd" 1.25e-07 1 0 0 0
180 "tSTAT5_au" 0.514594594594595 NA "actd_1" "actd" 1.25e-07 1 0 0 0
0 "pEpoR_au" 0.309734513274336 NA "fine" "fine" 1.25e-06 0 0 0 0
0 "pEpoR_au" 0.0269911504424781 NA "fine" "fine" 1.25e-06 0 0 0 0
0.5 "pEpoR_au" 0.210914454277286 NA "fine" "fine" 1.25e-06 0 0 0 0
1 "pEpoR_au" 0.423964601769912 NA "fine" "fine" 1.25e-06 0 0 0 0
1.5 "pEpoR_au" 0.91150442477876 NA "fine" "fine" 1.25e-06 0 0 0 0
2 "pEpoR_au" 0.68362389380531 NA "fine" "fine" 1.25e-06 0 0 0 0
3 "pEpoR_au" 0.998525073746313 NA "fine" "fine" 1.25e-06 0 0 0 0
4 "pEpoR_au" 0.768710914454277 NA "fine" "fine" 1.25e-06 0 0 0 0
5 "pEpoR_au" 1 NA "fine" "fine" 1.25e-06 0 0 0 0
6 "pEpoR_au" 0.523721238938053 NA "fine" "fine" 1.25e-06 0 0 0 0
7.5 "pEpoR_au" 0.41740412979351 NA "fine" "fine" 1.25e-06 0 0 0 0
9 "pEpoR_au" 0.906609144542773 NA "fine" "fine" 1.25e-06 0 0 0 0
10.5 "pEpoR_au" 0.199115044247788 NA "fine" "fine" 1.25e-06 0 0 0 0
12 "pEpoR_au" 0.513451327433629 NA "fine" "fine" 1.25e-06 0 0 0 0
13.5 "pEpoR_au" 0.339233038348082 NA "fine" "fine" 1.25e-06 0 0 0 0
15 "pEpoR_au" 0.776045722713864 NA "fine" "fine" 1.25e-06 0 0 0 0
16.5 "pEpoR_au" 0.951327433628318 NA "fine" "fine" 1.25e-06 0 0 0 0
18 "pEpoR_au" 0.283131268436578 NA "fine" "fine" 1.25e-06 0 0 0 0
20 "pEpoR_au" 0.166666666666666 NA "fine" "fine" 1.25e-06 0 0 0 0
22 "pEpoR_au" 0.217116519174041 NA "fine" "fine" 1.25e-06 0 0 0 0
25 "pEpoR_au" 0.120501474926254 NA "fine" "fine" 1.25e-06 0 0 0 0
28 "pEpoR_au" 0.143482300884956 NA "fine" "fine" 1.25e-06 0 0 0 0
31 "pEpoR_au" 0.0845324483775816 NA "fine" "fine" 1.25e-06 0 0 0 0
35 "pEpoR_au" 0.0801120943952796 NA "fine" "fine" 1.25e-06 0 0 0 0
40 "pEpoR_au" 0.0977536873156347 NA "fine" "fine" 1.25e-06 0 0 0 0
45 "pEpoR_au" 0.121588495575221 NA "fine" "fine" 1.25e-06 0 0 0 0
50 "pEpoR_au" 0.0694999999999994 NA "fine" "fine" 1.25e-06 0 0 0 0
60 "pEpoR_au" 0.14816814159292 NA "fine" "fine" 1.25e-06 0 0 0 0
65 "pEpoR_au" 0.157817109144543 NA "fine" "fine" 1.25e-06 0 0 0 0
70 "pEpoR_au" 0.10446017699115 NA "fine" "fine" 1.25e-06 0 0 0 0
0 "pJAK2_au" 0.0211702127659575 NA "fine" "fine" 1.25e-06 0 0 0 0
0 "pJAK2_au" 0.0261631205673757 NA "fine" "fine" 1.25e-06 0 0 0 0
0.5 "pJAK2_au" 0.196808510638298 NA "fine" "fine" 1.25e-06 0 0 0 0
1 "pJAK2_au" 0.379053191489362 NA "fine" "fine" 1.25e-06 0 0 0 0
1.5 "pJAK2_au" 0.413120567375887 NA "fine" "fine" 1.25e-06 0 0 0 0
2 "pJAK2_au" 0.368682624113476 NA "fine" "fine" 1.25e-06 0 0 0 0
3 "pJAK2_au" 0.491134751773049 NA "fine" "fine" 1.25e-06 0 0 0 0
4 "pJAK2_au" 0.906730496453901 NA "fine" "fine" 1.25e-06 0 0 0 0
5 "pJAK2_au" 1 NA "fine" "fine" 1.25e-06 0 0 0 0
6 "pJAK2_au" 0.799581560283687 NA "fine" "fine" 1.25e-06 0 0 0 0
7.5 "pJAK2_au" 0.76063829787234 NA "fine" "fine" 1.25e-06 0 0 0 0
9 "pJAK2_au" 0.653260638297873 NA "fine" "fine" 1.25e-06 0 0 0 0
10.5 "pJAK2_au" 0.828014184397163 NA "fine" "fine" 1.25e-06 0 0 0 0
12 "pJAK2_au" 0.603719858156028 NA "fine" "fine" 1.25e-06 0 0 0 0
13.5 "pJAK2_au" 0.478723404255319 NA "fine" "fine" 1.25e-06 0 0 0 0
15 "pJAK2_au" 0.24079609929078 NA "fine" "fine" 1.25e-06 0 0 0 0
16.5 "pJAK2_au" 0.400709219858156 NA "fine" "fine" 1.25e-06 0 0 0 0
18 "pJAK2_au" 0.752343971631206 NA "fine" "fine" 1.25e-06 0 0 0 0
20 "pJAK2_au" 0.352836879432624 NA "fine" "fine" 1.25e-06 0 0 0 0
22 "pJAK2_au" 0.228122340425532 NA "fine" "fine" 1.25e-06 0 0 0 0
25 "pJAK2_au" 0.186170212765958 NA "fine" "fine" 1.25e-06 0 0 0 0
28 "pJAK2_au" 0.3882695035461 NA "fine" "fine" 1.25e-06 0 0 0 0
31 "pJAK2_au" 0.172815602836879 NA "fine" "fine" 1.25e-06 0 0 0 0
35 "pJAK2_au" 0.0771063829787238 NA "fine" "fine" 1.25e-06 0 0 0 0
40 "pJAK2_au" 0.16393439716312 NA "fine" "fine" 1.25e-06 0 0 0 0
45 "pJAK2_au" 0.237340425531915 NA "fine" "fine" 1.25e-06 0 0 0 0
50 "pJAK2_au" 0.126845744680851 NA "fine" "fine" 1.25e-06 0 0 0 0
60 "pJAK2_au" 0.0638120567375888 NA "fine" "fine" 1.25e-06 0 0 0 0
65 "pJAK2_au" 0.113429078014184 NA "fine" "fine" 1.25e-06 0 0 0 0
70 "pJAK2_au" 0.22236170212766 NA "fine" "fine" 1.25e-06 0 0 0 0
0 "CIS_au" 0.028804587155963 NA "cisoe_0" "cisoe" 1.25e-07 0 0 0 0
10 "CIS_au" 0.0260642201834861 NA "cisoe_0" "cisoe" 1.25e-07 0 0 0 0
60 "CIS_au" 0.101834862385321 NA "cisoe_0" "cisoe" 1.25e-07 0 0 0 0
120 "CIS_au" 0.0753192660550458 NA "cisoe_0" "cisoe" 1.25e-07 0 0 0 0
0 "pEpoR_au" 0.0230981595092024 NA "cisoe_0" "cisoe" 1.25e-07 0 0 0 0
10 "pEpoR_au" 1 NA "cisoe_0" "cisoe" 1.25e-07 0 0 0 0
60 "pEpoR_au" 0.226177914110429 NA "cisoe_0" "cisoe" 1.25e-07 0 0 0 0
120 "pEpoR_au" 0.240680981595092 NA "cisoe_0" "cisoe" 1.25e-07 0 0 0 0
0 "pJAK2_au" 0.0267724867724865 NA "cisoe_0" "cisoe" 1.25e-07 0 0 0 0
10 "pJAK2_au" 1 NA "cisoe_0" "cisoe" 1.25e-07 0 0 0 0
60 "pJAK2_au" 0.248910052910053 NA "cisoe_0" "cisoe" 1.25e-07 0 0 0 0
120 "pJAK2_au" 0.224042328042328 NA "cisoe_0" "cisoe" 1.25e-07 0 0 0 0
0 "pSTAT5_au" 0.070604310344827 NA "cisoe_0" "cisoe" 1.25e-07 0 0 0 0
10 "pSTAT5_au" 1 NA "cisoe_0" "cisoe" 1.25e-07 0 0 0 0
60 "pSTAT5_au" 0.711206896551725 NA "cisoe_0" "cisoe" 1.25e-07 0 0 0 0
120 "pSTAT5_au" 0.633620689655172 NA "cisoe_0" "cisoe" 1.25e-07 0 0 0 0
0 "SOCS3_au" 0.275750636132316 NA "cisoe_0" "cisoe" 1.25e-07 0 0 0 0
10 "SOCS3_au" 0.351145038167939 NA "cisoe_0" "cisoe" 1.25e-07 0 0 0 0
60 "SOCS3_au" 0.921119592875318 NA "cisoe_0" "cisoe" 1.25e-07 0 0 0 0
